title_ID,答题次数,正确率,平均得分,平均用时,作答学生数,难度等级,异常指数
Question_3MwAFlmNO8EKrpY5zjUd,12000,0.152,0.747,3.777,1360,极难,10176.0
Question_3oPyUzDmQtcMfLpGZ0jW,9912,0.161,0.414,3.823,1359,极难,8316.17
Question_4nHcauCQ0Y6Pm8DgKlLo,6097,0.25,1.193,8.667,1344,极难,4572.75
Question_5fgqjSBwTPG7KUV3it6O,11713,0.141,1.308,68.824,1351,极难,10061.47
Question_62XbhBvJ8NUSnApgDL94,5381,0.274,1.124,5.081,1333,极难,3906.61
Question_6RQj2gF3OeK5AmDvThUV,4990,0.318,1.105,4.717,1327,较难,3403.18
Question_7NJzCXUPcvQF4Mkfh9Wr,4323,0.342,1.233,6.968,1315,较难,2844.53
Question_Az73sM0rHfWVKuc4X2kL,6308,0.249,1.302,6.029,1339,极难,4737.31
Question_BW0ItEaymH3TkD6S15JF,7094,0.217,0.217,3.415,1349,极难,5554.6
Question_EhVPdmlB31M8WKGqL0wc,6635,0.252,1.182,7.363,1338,极难,4962.98
Question_Ej5mBw9rsOUKkFycGvz2,6066,0.27,1.026,5.277,1337,极难,4428.18
Question_FNg8X9v5zcbB1tQrxHR3,6311,0.26,1.442,4.46,1324,极难,4670.14
Question_Jr4Wz5jLqmN01KUwHa7g,5995,0.279,1.015,17.008,1343,极难,4322.39
Question_Mh4CZIsrEfxkP1wXtOYV,4747,0.29,0.871,3.952,1322,极难,3370.37
Question_NixCn84GdK2tySa5rB1V,3674,0.386,1.227,5.532,1289,较难,2255.84
Question_Ou3f2Wt9BqExm5DpN7Zk,3359,0.42,1.358,4.923,1280,较难,1948.22
Question_QRm48lXxzdP7Tn1WgNOf,6469,0.244,1.328,4.918,1339,极难,4890.56
Question_TmKaGvfNoXYq4FZ2JrBu,6049,0.248,0.932,9.611,1347,极难,4548.85
Question_UXqN1F7G3Sbldz02vZne,4469,0.312,1.497,5.622,1310,较难,3074.67
Question_VgKw8PjY1FR6cm2QI9XW,5849,0.265,0.265,3.303,1342,极难,4299.02
Question_X3wF8QlTyi4mZkDp9Kae,4430,0.34,1.223,4.233,1315,较难,2923.8
Question_YWXHr4G6Cl7bEm9iF2kQ,6015,0.23,0.99,5.048,1322,极难,4631.55
Question_ZTbD7mxr2OUp8Fz6iNjy,3128,0.45,1.349,3.691,1272,较难,1720.4
Question_bumGRTJ0c8p4v5D6eHZa,4618,0.327,1.412,5.497,1314,较难,3107.91
Question_fZrP3FJ4ebUogW9V7taS,9139,0.164,0.164,3.402,1357,极难,7640.2
Question_h7pXNg80nJbw1C4kAPRm,6404,0.246,0.932,6.887,1344,极难,4828.62
Question_hZ5wXofebmTlzKB1jNcP,3782,0.387,1.16,3.708,1293,较难,2318.37
Question_lU2wvHSZq7m43xiVroBc,6210,0.262,1.147,5.014,1337,极难,4582.98
Question_n2BTxIGw1Mc3Zo6RLdUe,6847,0.216,0.648,3.849,1350,极难,5368.05
Question_oCjnFLbIs4Uxwek9rBpu,4758,0.303,1.214,23.257,1317,较难,3316.33
Question_pVKXjZn0BkSwYcsa7C31,6593,0.219,0.846,5.205,1345,极难,5149.13
Question_q7OpB2zCMmW9wS8uNt3H,11443,0.136,0.136,3.367,1359,极难,9886.75
Question_rvB9mVE6Kbd8jAY4NwPx,3025,0.456,0.456,3.571,1263,较难,1645.6
Question_s6VmP1G4UbEQWRYHK9Fd,7030,0.267,0.615,4.211,1350,极难,5152.99
Question_tgOjrpZLw4RdVzQx85h6,4691,0.302,0.759,3.839,1334,较难,3274.32
Question_x2Fy7rZ3SwYl9jMQkpOD,5999,0.248,0.962,15.591,1331,极难,4511.25
Question_x2L7AqbMuTjCwPFy6vNr,4169,0.348,0.865,3.822,1307,较难,2718.19
Question_xqlJkmRaP0otZcX4fK3W,5991,0.226,0.678,3.886,1324,极难,4637.03
